,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C dens g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
23,24,,40.1782802119,49.0959295365,17.9140936476,1.6111123237,50.2005635443,7,,0.3744012822,0.1177241325,0.6659568469,0.0460657409,1.8789515498,7,,0.0545152063,0.0563155879,0.0323191796,0.0226164037,0.1172882488,7
24,25,,37.8484626814,49.0959295365,19.6688200318,1.6111123237,50.2005635443,7,,0.3707383581,0.1177241325,0.6677384504,0.0460657409,1.8789515498,7,,0.0514554318,0.0563155879,0.0348464879,0.0129223026,0.1172882488,7
25,26,,37.6368296332,48.0322915984,19.5440901043,1.578998725,50.2005635443,7,,0.368743964,0.1177241325,0.668611249,0.0491857167,1.8789515498,7,,0.0502101006,0.0468348183,0.034692695,0.0129223026,0.1172882488,7
26,27,,37.566147719,48.0322915984,19.4925239166,1.578998725,50.0424269732,7,,0.3686502645,0.13208783,0.667795266,0.0491857167,1.8789515498,7,,0.0500637492,0.0468348183,0.030208429,0.0129223026,0.0911658278,7
27,28,,37.566147719,48.0322915984,19.4925239166,1.578998725,50.0424269732,7,,0.3686502645,0.13208783,0.667795266,0.0491857167,1.8789515498,7,,0.0500637492,0.0468348183,0.030208429,0.0129223026,0.0911658278,7
28,29,,37.566147719,48.0322915984,19.4925239166,1.578998725,50.0424269732,7,,0.3686502645,0.13208783,0.667795266,0.0491857167,1.8789515498,7,,0.0500637492,0.0468348183,0.030208429,0.0129223026,0.0911658278,7
29,30,,37.5180567434,48.0322915984,19.4585864631,1.578998725,50.0424269732,7,,0.3613386537,0.13208783,0.6704262851,0.0491857167,1.8789515498,7,,0.0463812019,0.0468348183,0.0255793495,0.0129223026,0.0841961388,7
30,31,,37.4025290493,48.0322915984,19.3900184712,1.578998725,50.0424269732,7,,0.3608127847,0.1252867712,0.6705784757,0.0523056926,1.8789515498,7,,0.0460350964,0.0468348183,0.0250513674,0.0129223026,0.0841961388,7
31,32,,37.6934297787,48.4252847389,19.5903120327,1.578998725,50.0685967041,7,,0.3744102891,0.1330264063,0.6652936931,0.0523056926,1.8789515498,7,,0.0531268244,0.0579066165,0.0315095628,0.0129223026,0.0964769147,7
32,33,,42.0781181807,49.1541481642,17.904322089,1.578998725,50.0685967041,7,,0.3794601598,0.1338922537,0.6624868813,0.0523056926,1.8789515498,7,,0.0586426872,0.0653879969,0.0244925271,0.0253291806,0.0964769147,7
