"Barren ground: These sites have vegetation cover <5%. Located mainly in slopes and higher altitudes. Includes colluvium, tills, glaciofluvial deposits and moraines.",,,,,,,,,,,,,,,,,,,,,,
,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
23,24,,0.0052505027,0.0043226203,0.001678618,0.0042406616,0.0071882261,3,,1.6546652559,1.7904619029,0.2406110248,1.3768547645,1.7966791003,3,,0.0073350055,0.0070014645,0.0034784295,0.0040353608,0.0109681913,3
24,25,,0.0052505027,0.0043226203,0.001678618,0.0042406616,0.0071882261,3,,1.6546652559,1.7904619029,0.2406110248,1.3768547645,1.7966791003,3,,0.0073350055,0.0070014645,0.0034784295,0.0040353608,0.0109681913,3
25,26,,0.0042816409,0.0042816409,5.79535361678722E-005,0.0042406616,0.0043226203,2,,1.5836583337,1.5836583337,0.2924644124,1.3768547645,1.7904619029,2,,0.0055184127,0.0055184127,0.0020973521,0.0040353608,0.0070014645,2
26,27,,0.0037954917,0.0042406616,0.0008430317,0.0028231934,0.0043226203,3,,1.4134749457,1.3768547645,0.3600762042,1.0731081698,1.7904619029,3,,0.0042092273,0.0040353608,0.0027094911,0.0015908565,0.0070014645,3
27,28,,0.0037954917,0.0042406616,0.0008430317,0.0028231934,0.0043226203,3,,1.4134749457,1.3768547645,0.3600762042,1.0731081698,1.7904619029,3,,0.0042092273,0.0040353608,0.0027094911,0.0015908565,0.0070014645,3
28,29,,0.0037954917,0.0042406616,0.0008430317,0.0028231934,0.0043226203,3,,1.4134749457,1.3768547645,0.3600762042,1.0731081698,1.7904619029,3,,0.0042092273,0.0040353608,0.0027094911,0.0015908565,0.0070014645,3
29,30,,0.0037954917,0.0042406616,0.0008430317,0.0028231934,0.0043226203,3,,1.4134749457,1.3768547645,0.3600762042,1.0731081698,1.7904619029,3,,0.0042092273,0.0040353608,0.0027094911,0.0015908565,0.0070014645,3
30,31,,0.0037390518,0.0028231934,0.0019504568,0.0024150763,0.0059788857,3,,1.4928515688,1.6154465364,0.3738390277,1.0731081698,1.79,3,,0.0041494108,0.0019959798,0.0040857233,0.0015908565,0.008861396,3
31,32,,0.0037390518,0.0028231934,0.0019504568,0.0024150763,0.0059788857,3,,1.4928515688,1.6154465364,0.3738390277,1.0731081698,1.79,3,,0.0041494108,0.0019959798,0.0040857233,0.0015908565,0.008861396,3
32,33,,0.0037390518,0.0028231934,0.0019504568,0.0024150763,0.0059788857,3,,1.4928515688,1.6154465364,0.3738390277,1.0731081698,1.79,3,,0.0041494108,0.0019959798,0.0040857233,0.0015908565,0.008861396,3
33,34,,0.0037390518,0.0028231934,0.0019504568,0.0024150763,0.0059788857,3,,1.4928515688,1.6154465364,0.3738390277,1.0731081698,1.79,3,,0.0041494108,0.0019959798,0.0040857233,0.0015908565,0.008861396,3
34,35,,0.0037390518,0.0028231934,0.0019504568,0.0024150763,0.0059788857,3,,1.4928515688,1.6154465364,0.3738390277,1.0731081698,1.79,3,,0.0041494108,0.0019959798,0.0040857233,0.0015908565,0.008861396,3
35,36,,0.0037390518,0.0028231934,0.0019504568,0.0024150763,0.0059788857,3,,1.4928515688,1.6154465364,0.3738390277,1.0731081698,1.79,3,,0.0041494108,0.0019959798,0.0040857233,0.0015908565,0.008861396,3
36,37,,0.0037390518,0.0028231934,0.0019504568,0.0024150763,0.0059788857,3,,1.4928515688,1.6154465364,0.3738390277,1.0731081698,1.79,3,,0.0041494108,0.0019959798,0.0040857233,0.0015908565,0.008861396,3
37,38,,0.0037390518,0.0028231934,0.0019504568,0.0024150763,0.0059788857,3,,1.4928515688,1.6154465364,0.3738390277,1.0731081698,1.79,3,,0.0041494108,0.0019959798,0.0040857233,0.0015908565,0.008861396,3
38,39,,0.0037390518,0.0028231934,0.0019504568,0.0024150763,0.0059788857,3,,1.4928515688,1.6154465364,0.3738390277,1.0731081698,1.79,3,,0.0041494108,0.0019959798,0.0040857233,0.0015908565,0.008861396,3
39,40,,0.0037390518,0.0028231934,0.0019504568,0.0024150763,0.0059788857,3,,1.4928515688,1.6154465364,0.3738390277,1.0731081698,1.79,3,,0.0041494108,0.0019959798,0.0040857233,0.0015908565,0.008861396,3
40,41,,0.0035171481,0.0028231934,0.0021984974,0.0017493652,0.0059788857,3,,1.4205943135,1.3986747708,0.3589482188,1.0731081698,1.79,3,,0.0039755826,0.0015908565,0.0042316385,0.0014744952,0.008861396,3
41,42,,0.0035171481,0.0028231934,0.0021984974,0.0017493652,0.0059788857,3,,1.4205943135,1.3986747708,0.3589482188,1.0731081698,1.79,3,,0.0039755826,0.0015908565,0.0042316385,0.0014744952,0.008861396,3
42,43,,0.0035171481,0.0028231934,0.0021984974,0.0017493652,0.0059788857,3,,1.4205943135,1.3986747708,0.3589482188,1.0731081698,1.79,3,,0.0039755826,0.0015908565,0.0042316385,0.0014744952,0.008861396,3
43,44,,0.0035171481,0.0028231934,0.0021984974,0.0017493652,0.0059788857,3,,1.4205943135,1.3986747708,0.3589482188,1.0731081698,1.79,3,,0.0039755826,0.0015908565,0.0042316385,0.0014744952,0.008861396,3
44,45,,0.0035171481,0.0028231934,0.0021984974,0.0017493652,0.0059788857,3,,1.4205943135,1.3986747708,0.3589482188,1.0731081698,1.79,3,,0.0039755826,0.0015908565,0.0042316385,0.0014744952,0.008861396,3
45,46,,0.0033134563,0.002212118,0.0023198967,0.0017493652,0.0059788857,3,,1.8162603417,1.79,0.4313157247,1.3986747708,2.2601062544,3,,0.0049406354,0.004486015,0.0037143755,0.0014744952,0.008861396,3
46,47,,0.0033134563,0.002212118,0.0023198967,0.0017493652,0.0059788857,3,,1.8162603417,1.79,0.4313157247,1.3986747708,2.2601062544,3,,0.0049406354,0.004486015,0.0037143755,0.0014744952,0.008861396,3
47,48,,0.0033134563,0.002212118,0.0023198967,0.0017493652,0.0059788857,3,,1.8162603417,1.79,0.4313157247,1.3986747708,2.2601062544,3,,0.0049406354,0.004486015,0.0037143755,0.0014744952,0.008861396,3
48,49,,0.0033134563,0.002212118,0.0023198967,0.0017493652,0.0059788857,3,,1.8162603417,1.79,0.4313157247,1.3986747708,2.2601062544,3,,0.0049406354,0.004486015,0.0037143755,0.0014744952,0.008861396,3
49,50,,0.0032430652,0.002212118,0.0023931317,0.001538192,0.0059788857,3,,1.9534283072,1.8101786671,0.2657824621,1.79,2.2601062544,3,,0.0051324714,0.004486015,0.0034514051,0.0020500033,0.008861396,3
50,51,,0.0024799297,0.002212118,0.0011003642,0.001538192,0.0036894791,3,,1.9880203613,1.8937761625,0.2393118994,1.8101786671,2.2601062544,3,,0.0040841377,0.004486015,0.0018659409,0.0020500033,0.0057163947,3
51,52,,0.0024799297,0.002212118,0.0011003642,0.001538192,0.0036894791,3,,1.9880203613,1.8937761625,0.2393118994,1.8101786671,2.2601062544,3,,0.0040841377,0.004486015,0.0018659409,0.0020500033,0.0057163947,3
52,53,,0.0024799297,0.002212118,0.0011003642,0.001538192,0.0036894791,3,,1.9880203613,1.8937761625,0.2393118994,1.8101786671,2.2601062544,3,,0.0040841377,0.004486015,0.0018659409,0.0020500033,0.0057163947,3
53,54,,0.0024799297,0.002212118,0.0011003642,0.001538192,0.0036894791,3,,1.9880203613,1.8937761625,0.2393118994,1.8101786671,2.2601062544,3,,0.0040841377,0.004486015,0.0018659409,0.0020500033,0.0057163947,3
54,55,,0.0024799297,0.002212118,0.0011003642,0.001538192,0.0036894791,3,,1.9880203613,1.8937761625,0.2393118994,1.8101786671,2.2601062544,3,,0.0040841377,0.004486015,0.0018659409,0.0020500033,0.0057163947,3
55,56,,0.0024799297,0.002212118,0.0011003642,0.001538192,0.0036894791,3,,1.9880203613,1.8937761625,0.2393118994,1.8101786671,2.2601062544,3,,0.0040841377,0.004486015,0.0018659409,0.0020500033,0.0057163947,3
56,57,,0.0024799297,0.002212118,0.0011003642,0.001538192,0.0036894791,3,,1.9880203613,1.8937761625,0.2393118994,1.8101786671,2.2601062544,3,,0.0040841377,0.004486015,0.0018659409,0.0020500033,0.0057163947,3
57,58,,0.0024799297,0.002212118,0.0011003642,0.001538192,0.0036894791,3,,1.9880203613,1.8937761625,0.2393118994,1.8101786671,2.2601062544,3,,0.0040841377,0.004486015,0.0018659409,0.0020500033,0.0057163947,3
58,59,,0.0024799297,0.002212118,0.0011003642,0.001538192,0.0036894791,3,,1.9880203613,1.8937761625,0.2393118994,1.8101786671,2.2601062544,3,,0.0040841377,0.004486015,0.0018659409,0.0020500033,0.0057163947,3
59,60,,0.0026138356,0.0026138356,0.0015211897,0.001538192,0.0036894791,2,,1.8519774148,1.8519774148,0.0591123558,1.8101786671,1.8937761625,2,,0.003883199,0.003883199,0.0025925302,0.0020500033,0.0057163947,2
60,61,,0.0033139177,0.0033139177,0.0025112553,0.001538192,0.0050896434,2,,2.0063139588,2.0063139588,0.2773771896,1.8101786671,2.2024492505,2,,0.0060558121,0.0060558121,0.0056650691,0.0020500033,0.0100616209,2
61,62,,0.0033139177,0.0033139177,0.0025112553,0.001538192,0.0050896434,2,,2.0063139588,2.0063139588,0.2773771896,1.8101786671,2.2024492505,2,,0.0060558121,0.0060558121,0.0056650691,0.0020500033,0.0100616209,2
62,63,,0.0033139177,0.0033139177,0.0025112553,0.001538192,0.0050896434,2,,2.0063139588,2.0063139588,0.2773771896,1.8101786671,2.2024492505,2,,0.0060558121,0.0060558121,0.0056650691,0.0020500033,0.0100616209,2
