"depth" "bdens" "c_kg_m3"
0.01 0.04 20
0.05 0.042 21
0.09 0.044 22
0.11 0.048 24
0.129032258064517 0.0651162790697684 32.5581395348842
0.172043010752689 0.0651162790697684 32.5581395348842
0.197849462365591 0.0813953488372099 40.6976744186049
0.240860215053763 0.0720930232558148 36.0465116279074
0.309677419354839 0.0790697674418612 39.5348837209306
0.309677419354839 0.0930232558139545 46.5116279069773
0.412903225806452 0.109302325581396 54.651162790698
0.5247311827957 0.104651162790698 52.3255813953489
0.619354838709678 0.104651162790698 52.3255813953489
0.688172043010753 0.106976744186047 53.4883720930237
0.808602150537635 0.106976744186047 53.4883720930237
0.868817204301075 0.100000000000001 50.0000000000005
0.911827956989247 0.100000000000001 50.0000000000005
0.972043010752688 0.0930232558139545 46.5116279069773
1.04086021505376 0.0953488372093028 47.6744186046514
1.13548387096774 0.0883720930232563 44.1860465116282
1.19569892473118 0.0883720930232563 44.1860465116282
1.35913978494624 0.0860465116279072 43.0232558139536
1.45376344086022 0.0767441860465121 38.3720930232561
1.56559139784946 0.0720930232558148 36.0465116279074
1.68602150537634 0.0697674418604657 34.8837209302328
1.78924731182796 0.0697674418604657 34.8837209302328
1.91827956989247 0.0744186046511639 37.209302325582
2.01290322580645 0.0744186046511639 37.209302325582
2.10752688172043 0.0744186046511639 37.209302325582
2.16774193548387 0.0767441860465121 38.3720930232561
2.27956989247312 0.0813953488372099 40.6976744186049
2.4258064516129 0.0744186046511639 37.209302325582
2.56344086021505 0.0790697674418612 39.5348837209306
2.69247311827957 0.0720930232558148 36.0465116279074
2.83870967741935 0.0744186046511639 37.209302325582
2.95913978494624 0.0790697674418612 39.5348837209306
3.07096774193548 0.0790697674418612 39.5348837209306
3.2 0.0813953488372099 40.6976744186049
3.32043010752688 0.0720930232558148 36.0465116279074
3.46666666666667 0.0697674418604657 34.8837209302328
3.59569892473118 0.0651162790697684 32.5581395348842
3.73333333333333 0.0558139534883733 27.9069767441866
3.89677419354839 0.0651162790697684 32.5581395348842
4.00860215053763 0.0674418604651166 33.7209302325583
4.07741935483871 0.100000000000001 50.0000000000005
