,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
26,27,,0.7293891817,0.6110548951,0.6048046301,0.1261547673,1.5692921693,4,,1.4260672992,1.365706025,0.2903851534,1.1474874909,1.825369656,4,,0.0092488662,0.0083426213,0.0065024269,0.0023027908,0.0180074313,4
27,28,,0.7293891817,0.6110548951,0.6048046301,0.1261547673,1.5692921693,4,,1.4260672992,1.365706025,0.2903851534,1.1474874909,1.825369656,4,,0.0092488662,0.0083426213,0.0065024269,0.0023027908,0.0180074313,4
28,29,,0.7293891817,0.6110548951,0.6048046301,0.1261547673,1.5692921693,4,,1.4260672992,1.365706025,0.2903851534,1.1474874909,1.825369656,4,,0.0092488662,0.0083426213,0.0065024269,0.0023027908,0.0180074313,4
29,30,,0.7293891817,0.6110548951,0.6048046301,0.1261547673,1.5692921693,4,,1.4260672992,1.365706025,0.2903851534,1.1474874909,1.825369656,4,,0.0092488662,0.0083426213,0.0065024269,0.0023027908,0.0180074313,4
30,31,,0.6614944587,0.6109762612,0.3998633164,0.2586927368,1.1653325755,4,,1.5431364173,1.3483401535,0.5482356759,1.1258738567,2.3499915054,4,,0.0089345558,0.0083830242,0.0035704628,0.005852,0.0131201748,4
31,32,,0.6614944587,0.6109762612,0.3998633164,0.2586927368,1.1653325755,4,,1.5431364173,1.3483401535,0.5482356759,1.1258738567,2.3499915054,4,,0.0089345558,0.0083830242,0.0035704628,0.005852,0.0131201748,4
32,33,,0.6614944587,0.6109762612,0.3998633164,0.2586927368,1.1653325755,4,,1.5431364173,1.3483401535,0.5482356759,1.1258738567,2.3499915054,4,,0.0089345558,0.0083830242,0.0035704628,0.005852,0.0131201748,4
33,34,,0.6614944587,0.6109762612,0.3998633164,0.2586927368,1.1653325755,4,,1.5431364173,1.3483401535,0.5482356759,1.1258738567,2.3499915054,4,,0.0089345558,0.0083830242,0.0035704628,0.005852,0.0131201748,4
34,35,,0.6614944587,0.6109762612,0.3998633164,0.2586927368,1.1653325755,4,,1.5431364173,1.3483401535,0.5482356759,1.1258738567,2.3499915054,4,,0.0089345558,0.0083830242,0.0035704628,0.005852,0.0131201748,4
35,36,,0.6039944587,0.5203226296,0.4550584089,0.21,1.1653325755,4,,1.5281364173,1.3183401535,0.5567654919,1.1258738567,2.3499915054,4,,0.0081383058,0.0083830242,0.0046722109,0.002667,0.0131201748,4
36,37,,0.6039944587,0.5203226296,0.4550584089,0.21,1.1653325755,4,,1.5281364173,1.3183401535,0.5567654919,1.1258738567,2.3499915054,4,,0.0081383058,0.0083830242,0.0046722109,0.002667,0.0131201748,4
37,38,,0.6039944587,0.5203226296,0.4550584089,0.21,1.1653325755,4,,1.5281364173,1.3183401535,0.5567654919,1.1258738567,2.3499915054,4,,0.0081383058,0.0083830242,0.0046722109,0.002667,0.0131201748,4
38,39,,0.6039944587,0.5203226296,0.4550584089,0.21,1.1653325755,4,,1.5281364173,1.3183401535,0.5567654919,1.1258738567,2.3499915054,4,,0.0081383058,0.0083830242,0.0046722109,0.002667,0.0131201748,4
39,40,,0.6039944587,0.5203226296,0.4550584089,0.21,1.1653325755,4,,1.5281364173,1.3183401535,0.5567654919,1.1258738567,2.3499915054,4,,0.0081383058,0.0083830242,0.0046722109,0.002667,0.0131201748,4
40,41,,0.8236848911,1.1557220978,0.583448018,0.15,1.1653325755,3,,1.2086246189,1.24,0.0723585965,1.1258738567,1.26,3,,0.0097886832,0.0131201748,0.0068683066,0.00189,0.0143558749,3
41,42,,0.8236848911,1.1557220978,0.583448018,0.15,1.1653325755,3,,1.2086246189,1.24,0.0723585965,1.1258738567,1.26,3,,0.0097886832,0.0131201748,0.0068683066,0.00189,0.0143558749,3
42,43,,0.8236848911,1.1557220978,0.583448018,0.15,1.1653325755,3,,1.2086246189,1.24,0.0723585965,1.1258738567,1.26,3,,0.0097886832,0.0131201748,0.0068683066,0.00189,0.0143558749,3
43,44,,0.8236848911,1.1557220978,0.583448018,0.15,1.1653325755,3,,1.2086246189,1.24,0.0723585965,1.1258738567,1.26,3,,0.0097886832,0.0131201748,0.0068683066,0.00189,0.0143558749,3
44,45,,0.8236848911,1.1557220978,0.583448018,0.15,1.1653325755,3,,1.2086246189,1.24,0.0723585965,1.1258738567,1.26,3,,0.0097886832,0.0131201748,0.0068683066,0.00189,0.0143558749,3
45,46,,0.6369908898,0.5052505715,0.4670115236,0.25,1.1557220978,3,,1.3409737834,1.38,0.0881936833,1.24,1.4029213502,3,,0.0082980477,0.0070882681,0.0055526752,0.00345,0.0143558749,3
46,47,,0.6369908898,0.5052505715,0.4670115236,0.25,1.1557220978,3,,1.3409737834,1.38,0.0881936833,1.24,1.4029213502,3,,0.0082980477,0.0070882681,0.0055526752,0.00345,0.0143558749,3
47,48,,0.6369908898,0.5052505715,0.4670115236,0.25,1.1557220978,3,,1.3409737834,1.38,0.0881936833,1.24,1.4029213502,3,,0.0082980477,0.0070882681,0.0055526752,0.00345,0.0143558749,3
48,49,,0.6369908898,0.5052505715,0.4670115236,0.25,1.1557220978,3,,1.3409737834,1.38,0.0881936833,1.24,1.4029213502,3,,0.0082980477,0.0070882681,0.0055526752,0.00345,0.0143558749,3
49,50,,0.6369908898,0.5052505715,0.4670115236,0.25,1.1557220978,3,,1.3409737834,1.38,0.0881936833,1.24,1.4029213502,3,,0.0082980477,0.0070882681,0.0055526752,0.00345,0.0143558749,3
50,51,,0.3801880401,0.3476252858,0.2285762929,0.1860256617,0.6394759273,4,,1.5648692298,1.4064606751,0.4349379145,1.24,2.206555569,4,,0.0054538296,0.0055965139,0.002475781,0.002679,0.0079432905,4
51,52,,0.3801880401,0.3476252858,0.2285762929,0.1860256617,0.6394759273,4,,1.5648692298,1.4064606751,0.4349379145,1.24,2.206555569,4,,0.0054538296,0.0055965139,0.002475781,0.002679,0.0079432905,4
52,53,,0.3801880401,0.3476252858,0.2285762929,0.1860256617,0.6394759273,4,,1.5648692298,1.4064606751,0.4349379145,1.24,2.206555569,4,,0.0054538296,0.0055965139,0.002475781,0.002679,0.0079432905,4
53,54,,0.3801880401,0.3476252858,0.2285762929,0.1860256617,0.6394759273,4,,1.5648692298,1.4064606751,0.4349379145,1.24,2.206555569,4,,0.0054538296,0.0055965139,0.002475781,0.002679,0.0079432905,4
54,55,,0.3801880401,0.3476252858,0.2285762929,0.1860256617,0.6394759273,4,,1.5648692298,1.4064606751,0.4349379145,1.24,2.206555569,4,,0.0054538296,0.0055965139,0.002475781,0.002679,0.0079432905,4
55,56,,0.4376880401,0.4626252858,0.1905517135,0.1860256617,0.6394759273,4,,1.5573692298,1.3914606751,0.4387406684,1.24,2.206555569,4,,0.0062330796,0.0064421341,0.001671023,0.0041047596,0.0079432905,4
56,57,,0.4376880401,0.4626252858,0.1905517135,0.1860256617,0.6394759273,4,,1.5573692298,1.3914606751,0.4387406684,1.24,2.206555569,4,,0.0062330796,0.0064421341,0.001671023,0.0041047596,0.0079432905,4
57,58,,0.4376880401,0.4626252858,0.1905517135,0.1860256617,0.6394759273,4,,1.5573692298,1.3914606751,0.4387406684,1.24,2.206555569,4,,0.0062330796,0.0064421341,0.001671023,0.0041047596,0.0079432905,4
58,59,,0.4376880401,0.4626252858,0.1905517135,0.1860256617,0.6394759273,4,,1.5573692298,1.3914606751,0.4387406684,1.24,2.206555569,4,,0.0062330796,0.0064421341,0.001671023,0.0041047596,0.0079432905,4
59,60,,0.4376880401,0.4626252858,0.1905517135,0.1860256617,0.6394759273,4,,1.5573692298,1.3914606751,0.4387406684,1.24,2.206555569,4,,0.0062330796,0.0064421341,0.001671023,0.0041047596,0.0079432905,4
