,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
23,24,,18.0128163383,20.3537151434,15.4549154743,1.3555082508,41.639981781,11,,0.7777785681,0.4557500051,0.6450014873,0.0503997032,1.7507651202,11,,0.0539687072,0.0496166835,0.0292791767,0.0149520799,0.0941545691,11
24,25,,18.0128163383,20.3537151434,15.4549154743,1.3555082508,41.639981781,11,,0.7777785681,0.4557500051,0.6450014873,0.0503997032,1.7507651202,11,,0.0539687072,0.0496166835,0.0292791767,0.0149520799,0.0941545691,11
25,26,,13.7244301054,4.1658819957,13.4587482182,2.1340640056,32.5575736452,12,,0.835535925,0.7557207931,0.5857992164,0.0503997032,1.7507651202,12,,0.0517526979,0.0448940469,0.0286283679,0.0149520799,0.0941545691,12
26,27,,11.3807944019,3.4815821751,13.049539564,1.6110449348,32.5575736452,12,,0.9613538347,0.9639603547,0.6185275378,0.0503997032,1.7507651202,12,,0.045525752,0.036657654,0.0259306972,0.0149520799,0.0933090482,12
27,28,,9.0446277352,3.4815821751,11.4891106364,1.6110449348,32.5575736452,12,,1.0684847463,1.250839181,0.5877880395,0.0503997032,1.7507651202,12,,0.0445106942,0.036657654,0.0252093363,0.0149520799,0.0933090482,12
28,29,,7.1515029839,3.3854075585,9.9497667539,1.6110449348,32.5575736452,11,,1.1763176199,1.4679504899,0.5245971583,0.286597058,1.7507651202,11,,0.047303758,0.0401714103,0.0245070661,0.0255842289,0.0933090482,11
29,30,,7.1515029839,3.3854075585,9.9497667539,1.6110449348,32.5575736452,11,,1.1763176199,1.4679504899,0.5245971583,0.286597058,1.7507651202,11,,0.047303758,0.0401714103,0.0245070661,0.0255842289,0.0933090482,11
30,31,,4.5573672561,2.834,5.9778031212,1.396,20.3537151434,9,,1.1958622419,1.3348432873,0.5131953307,0.4546439255,1.7507651202,9,,0.0386827468,0.0290527499,0.0243409072,0.0139498259,0.0927620578,9
31,32,,4.5573672561,2.834,5.9778031212,1.396,20.3537151434,9,,1.1958622419,1.3348432873,0.5131953307,0.4546439255,1.7507651202,9,,0.0386827468,0.0290527499,0.0243409072,0.0139498259,0.0927620578,9
32,33,,4.9931147414,3.0682969901,5.886102306,1.396,20.3537151434,9,,1.0817738149,1.2705634389,0.4911547117,0.4546439255,1.7507651202,9,,0.039793178,0.0343089853,0.0238278029,0.0139498259,0.0927620578,9
