,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C dens g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
23,24,,3.452995402,2.6333736145,2.4476850781,1.3765160612,9.6549750207,9,,1.0312013469,0.9869324335,0.2893175415,0.5553375,1.5395790263,9,,0.0305966881,0.0273133265,0.0097673758,0.0211925526,0.0536176969,9
24,25,,2.9925526903,2.6333736145,1.2140852331,1.3765160612,5.5109906157,9,,1.0434850275,0.9869324335,0.2681614817,0.665890625,1.5395790263,9,,0.0287166295,0.0273133265,0.0054618047,0.0211925526,0.0366971699,9
25,26,,2.7864681379,2.3891043809,1.4058903842,1.0111662932,5.5109906157,9,,1.1465805773,0.9869324335,0.4481310765,0.665890625,2.0988214286,9,,0.0272077712,0.0271209677,0.0054345471,0.0211925526,0.0366971699,9
26,27,,2.7870260372,2.3891043809,1.4056701992,1.0111662932,5.5109906157,9,,1.1166632975,0.9345911886,0.4536609831,0.665890625,2.0988214286,9,,0.0265274954,0.0259896183,0.0057911755,0.021190844,0.0366971699,9
27,28,,2.7870260372,2.3891043809,1.4056701992,1.0111662932,5.5109906157,9,,1.1166632975,0.9345911886,0.4536609831,0.665890625,2.0988214286,9,,0.0265274954,0.0259896183,0.0057911755,0.021190844,0.0366971699,9
28,29,,2.7870260372,2.3891043809,1.4056701992,1.0111662932,5.5109906157,9,,1.1166632975,0.9345911886,0.4536609831,0.665890625,2.0988214286,9,,0.0265274954,0.0259896183,0.0057911755,0.021190844,0.0366971699,9
29,30,,2.7870260372,2.3891043809,1.4056701992,1.0111662932,5.5109906157,9,,1.1166632975,0.9345911886,0.4536609831,0.665890625,2.0988214286,9,,0.0265274954,0.0259896183,0.0057911755,0.021190844,0.0366971699,9
30,31,,2.8443665527,2.6333736145,1.3857225499,1.0111662932,5.5109906157,9,,1.0510702884,0.9229110042,0.4701793615,0.665890625,2.0988214286,9,,0.0255258907,0.022328359,0.0064209941,0.0181065255,0.0366971699,9
31,32,,2.8038739046,2.6333736145,1.3754655736,1.0111662932,5.5109906157,9,,1.0970950558,0.9345911886,0.4696600049,0.665890625,2.0988214286,9,,0.0265396788,0.022328359,0.0076693352,0.0181065255,0.0382454167,9
32,33,,2.8038739046,2.6333736145,1.3754655736,1.0111662932,5.5109906157,9,,1.0970950558,0.9345911886,0.4696600049,0.665890625,2.0988214286,9,,0.0265396788,0.022328359,0.0076693352,0.0181065255,0.0382454167,9
33,34,,2.8038739046,2.6333736145,1.3754655736,1.0111662932,5.5109906157,9,,1.0970950558,0.9345911886,0.4696600049,0.665890625,2.0988214286,9,,0.0265396788,0.022328359,0.0076693352,0.0181065255,0.0382454167,9
34,35,,2.8038739046,2.6333736145,1.3754655736,1.0111662932,5.5109906157,9,,1.0970950558,0.9345911886,0.4696600049,0.665890625,2.0988214286,9,,0.0265396788,0.022328359,0.0076693352,0.0181065255,0.0382454167,9
35,36,,3.252340196,2.6333736145,2.0528669679,1.0111662932,7.3720255213,9,,1.0021688982,0.8469063988,0.5297361379,0.3886412134,2.0988214286,9,,0.025218339,0.0212225748,0.0065849852,0.0181065255,0.0366971699,9
36,37,,3.252340196,2.6333736145,2.0528669679,1.0111662932,7.3720255213,9,,1.0021688982,0.8469063988,0.5297361379,0.3886412134,2.0988214286,9,,0.025218339,0.0212225748,0.0065849852,0.0181065255,0.0366971699,9
37,38,,3.252340196,2.6333736145,2.0528669679,1.0111662932,7.3720255213,9,,1.0021688982,0.8469063988,0.5297361379,0.3886412134,2.0988214286,9,,0.025218339,0.0212225748,0.0065849852,0.0181065255,0.0366971699,9
38,39,,3.252340196,2.6333736145,2.0528669679,1.0111662932,7.3720255213,9,,1.0021688982,0.8469063988,0.5297361379,0.3886412134,2.0988214286,9,,0.025218339,0.0212225748,0.0065849852,0.0181065255,0.0366971699,9
39,40,,3.252340196,2.6333736145,2.0528669679,1.0111662932,7.3720255213,9,,1.0021688982,0.8469063988,0.5297361379,0.3886412134,2.0988214286,9,,0.025218339,0.0212225748,0.0065849852,0.0181065255,0.0366971699,9
40,41,,3.052286075,2.4926598459,2.0616641176,0.9871856125,7.3720255213,9,,0.9418651653,0.9229110042,0.3628002624,0.3886412134,1.6205206831,9,,0.0236107893,0.021190844,0.0079260675,0.0111418026,0.0366971699,9
41,42,,3.052286075,2.4926598459,2.0616641176,0.9871856125,7.3720255213,9,,0.9418651653,0.9229110042,0.3628002624,0.3886412134,1.6205206831,9,,0.0236107893,0.021190844,0.0079260675,0.0111418026,0.0366971699,9
42,43,,3.052286075,2.4926598459,2.0616641176,0.9871856125,7.3720255213,9,,0.9418651653,0.9229110042,0.3628002624,0.3886412134,1.6205206831,9,,0.0236107893,0.021190844,0.0079260675,0.0111418026,0.0366971699,9
43,44,,3.052286075,2.4926598459,2.0616641176,0.9871856125,7.3720255213,9,,0.9418651653,0.9229110042,0.3628002624,0.3886412134,1.6205206831,9,,0.0236107893,0.021190844,0.0079260675,0.0111418026,0.0366971699,9
44,45,,3.052286075,2.4926598459,2.0616641176,0.9871856125,7.3720255213,9,,0.9418651653,0.9229110042,0.3628002624,0.3886412134,1.6205206831,9,,0.0236107893,0.021190844,0.0079260675,0.0111418026,0.0366971699,9
45,46,,3.5488404403,2.4926598459,3.0644301258,0.9871856125,10.0737394733,9,,0.935311857,0.9229110042,0.3708891994,0.3886412134,1.6205206831,9,,0.0258610107,0.021190844,0.0130116872,0.0111418026,0.0563905662,9
46,47,,3.5488404403,2.4926598459,3.0644301258,0.9871856125,10.0737394733,9,,0.935311857,0.9229110042,0.3708891994,0.3886412134,1.6205206831,9,,0.0258610107,0.021190844,0.0130116872,0.0111418026,0.0563905662,9
